,0,1
0,303.07142857142856,476.2142857142858
1,303.1011697476575,476.24927521227613
2,303.13154240370613,476.28395346492835
3,303.1625429511626,476.3183209488656
4,303.1941678016149,476.3523781407112
5,303.2264133666514,476.3861255170888
6,303.2592760578602,476.4195635546217
7,303.2927522868293,476.4526927299332
8,303.3268384651469,476.4855135196467
9,303.3615310044012,476.5180264003858
10,303.3968263161801,476.55023184877354
11,303.43272081207203,476.5821303414336
12,303.4692109036649,476.6137223549891
13,303.50629300254684,476.6450083660638
14,303.54396352030614,476.6759888512808
15,303.5822188685309,476.7066642872638
16,303.62105545880905,476.73703515063573
17,303.6604697027289,476.76710191802033
18,303.70045801187854,476.7968650660409
19,303.74101679784616,476.8263250713208
20,303.78214247221996,476.8554824104836
21,303.82383144658763,476.8843375601524
22,303.86608013253783,476.9128909969508
23,303.9088849416584,476.9411431975021
24,303.9522422855375,476.96909463842957
25,303.99614857576324,476.99674579635683
26,304.04060022392395,477.02409714790736
27,304.08559364160755,477.0511491697043
28,304.13112524040235,477.0779023383711
29,304.17719143189635,477.1043571305312
30,304.2237886276775,477.13051402280786
31,304.2709132393343,477.1563734918247
32,304.3185616784546,477.1819360142049
33,304.36673035662676,477.20720206657205
34,304.41541568543875,477.23217212554954
35,304.46461407647865,477.2568466677606
36,304.51432194133486,477.28122616982864
37,304.56453569159527,477.305311108377
38,304.6152517388479,477.32910196002933
39,304.66646649468123,477.35259920140874
40,304.7181763706832,477.37580330913886
41,304.7703777784419,477.39871475984285
42,304.82306712954545,477.42133403014435
43,304.8762408355821,477.44366159666646
44,304.9298953081399,477.46569793603277
45,304.9840269588071,477.48744352486665
46,305.0386321991717,477.50889883979164
47,305.0937074408218,477.53006435743094
48,305.14924909534557,477.5509405544079
49,305.20525357433115,477.5715279073458
50,305.2617172893668,477.5918268928684
51,305.31863665204037,477.6118379875989
52,305.3760080739403,477.6315616681607
53,305.4338279666544,477.65099841117706
54,305.49209274177116,477.67014869327187
55,305.5507988108784,477.68901299106767
56,305.6099425855644,477.7075917811887
57,305.66952047741717,477.7258855402579
58,305.729528898025,477.7438947448987
59,305.78996425897594,477.76161987173464
60,305.8508229718581,477.7790613973889
61,305.91210144825965,477.79621979848497
62,305.9737960997688,477.8130955516464
63,306.0359033379736,477.82968913349634
64,306.09841957446207,477.8460010206583
65,306.1613412208224,477.8620316897558
66,306.2246646886428,477.8777816174119
67,306.28838638951134,477.89325128025035
68,306.3525027350162,477.9084411548942
69,306.4170101367455,477.923351717967
70,306.4819050062873,477.9379834460924
71,306.54718375522987,477.9523368158934
72,306.6128427951611,477.96641230399354
73,306.6788785376694,477.98021038701626
74,306.74528739434265,477.9937315415849
75,306.81206577676915,478.00697624432286
76,306.87921009653695,478.0199449718535
77,306.94671676523427,478.03263820080036
78,307.01458219444913,478.0450564077865
