,0,1
0,167,781
1,168,780
2,178,789
3,179,788
4,181,788
5,181,787
6,183,787
7,184,786
8,185,785
9,186,784
10,187,783
11,188,782
12,188,780
13,189,780
14,190,779
15,190,778
16,190,776
17,191,776
18,191,774
19,192,773
20,192,772
21,192,770
22,193,769
23,193,768
24,194,767
25,195,764
26,196,764
27,197,764
28,198,763
29,199,763
30,197,763
31,198,763
32,202,762
33,203,762
34,201,762
35,201,761
36,206,764
37,207,765
38,206,765
39,207,765
40,210,770
41,208,767
42,208,768
43,208,770
44,217,763
45,218,763
46,220,769
47,219,765
48,219,766
49,220,767
50,221,768
51,222,769
52,222,770
53,223,771
54,223,772
55,224,773
56,224,774
57,225,775
58,225,776
59,226,776
60,227,777
61,227,778
62,228,779
63,228,780
64,229,781
65,230,782
66,230,782
67,230,783
68,231,785
69,231,786
70,231,787
71,231,788
72,231,789
73,231,790
74,231,791
75,231,792
76,231,793
77,230,793
78,230,794
79,230,796
80,229,797
81,228,797
82,227,798
83,226,799
84,230,792
85,229,792
86,223,800
87,220,798
88,219,798
89,218,797
90,218,796
91,217,795
92,216,794
93,215,793
94,215,792
95,214,791
96,214,790
97,214,789
98,214,788
99,213,788
100,213,786
101,213,785
102,212,784
103,212,783
104,212,782
105,211,781
106,210,776
107,210,775
108,209,772
109,210,771
110,222,770
111,222,769
112,223,771
113,223,773
114,224,773
115,225,780
116,221,775
117,214,782
118,219,775
